ID,Reference,Data source,Longitude,Latitude,Elevation,MAT,MAP,PET,Climate,Ecosystem type,Methods,Site,MurA,GlcN,SOC,TN,TP,C/N,MBC,MBN,MBC/N,pH,Sand,Silt,Clay
41,4,A1,-100.77,46.82,532,5.00,402.00,1285,D,Cropland,GC,"Mandan, ND",79.00,1479.00,22.10,2.00,0.5,11.05,146.71 ,92.82 ,1.58 ,6.9,20.00,52.00,28.00
42,4,A1,-100.77,46.82,532,5.00,402.00,1285,D,Cropland,GC,"Mandan, ND",71.00,1438.00,19.50,2.00,0.5,9.75,146.71 ,92.82 ,1.58 ,6.9,18.00,56.00,26.00
43,4,A1,-102.65,39.30,1337,10.70,410.00,1806,B,Cropland,GC,"Stratton, CO",39.00,745.00,9.90,1.10,0.4,9.00,224.53 ,71.28 ,3.15 ,7.3,28.00,48.00,34.00
44,4,A1,-102.65,39.30,1337,10.70,410.00,1806,B,Cropland,GC,"Stratton, CO",39.00,856.00,10.50,1.10,0.4,9.55,224.53 ,71.28 ,3.15 ,7.3,22.00,45.00,31.00
45,4,A1,-102.58,35.18,1256,12.70,473.00,2166,B,Cropland,GC,"Bushland, TX",46.00,782.00,10.10,1.10,0.5,9.18,195.97 ,77.81 ,2.52 ,5.5,17.00,52.00,31.00
46,4,A1,-102.58,35.18,1256,12.70,473.00,2166,B,Cropland,GC,"Bushland, TX",41.00,766.00,9.70,1.20,0.5,8.08,195.97 ,77.81 ,2.52 ,5.5,17.00,50.00,33.00
47,4,A1,-102.68,41.13,1197,8.50,380.00,1663,B,Cropland,GC,"Sidney, NE",43.00,809.00,12.70,1.30,0.4,9.77,355.72 ,51.76 ,6.87 ,7.2,36.00,43.00,21.00
48,4,A1,-102.68,41.13,1197,8.50,380.00,1663,B,Cropland,GC,"Sidney, NE",57.00,1781.00,23.00,2.30,0.4,10.00,355.72 ,51.76 ,6.87 ,7.2,15.00,54.00,31.00
49,4,A1,-96.65,39.18,340,12.80,835.00,1523,D,Cropland,GC,"Manhattan, KS",40.00,885.00,11.70,1.20,0.6,9.75,414.21 ,58.92 ,7.03 ,7.0,6.00,73.00,21.00
50,4,A1,-96.65,39.18,340,12.80,835.00,1523,D,Cropland,GC,"Manhattan, KS",55.00,1641.00,18.20,1.90,0.6,9.58,414.21 ,58.92 ,7.03 ,7.0,6.00,73.00,21.00
51,4,A1,-84.63,38.02,281,13.00,1140.00,1284,C,Cropland,GC,"Lexington, KY",37.00,853.00,12.10,1.50,0.5,8.07,176.45 ,74.49 ,2.37 ,6.4,7.00,61.00,32.00
52,4,A1,-84.63,38.02,281,13.00,1140.00,1284,C,Cropland,GC,"Lexington, KY",50.00,2076.00,24.90,2.70,0.5,9.22,176.45 ,74.49 ,2.37 ,6.4,8.00,62.00,30.00
53,5,A1,96.67,40.80,1573,10.90,792.00,1810,B,Cropland,GC,"Lincoln, NE, USA",31.52,864.83,11.43,1.19,0.6,9.60,342.18 ,42.09 ,8.13 ,8.4,55,32,13
